eps,optimal_theta,R,h_XZ,h_XY,h_Fe
0.1565656603030303,1.5285475897289424,0.05143456890133711,0.8408409215052386,0.6260298487439799,0.575289326340618
0.16161616515151514,1.4828990804651914,0.047277740286470714,0.8454713888617444,0.6381619534220709,0.5626305530702416
0.16666667,1.4392916000444163,0.043445193061626926,0.8500293086910575,0.6500224290995754,0.5500477513034395
0.17171717484848484,1.3975333929171765,0.039910391125770196,0.8545143022381674,0.6616179129606564,0.5375421148477233
0.1767676796969697,1.3574551905713683,0.03664929740417894,0.8589271197645885,0.6729546326927812,0.5251148676109263
0.18181818454545454,1.3189108848309725,0.033640091416876225,0.8632683359084372,0.6840384412684799,0.5127672646931289
0.18686868939393939,1.2817734929287068,0.030862924679858586,0.8675383640839702,0.6948748478517134,0.5005005935322396
0.19191919424242423,1.2459291311121046,0.0282997080768726,0.8717381323766477,0.7054690453527173,0.4883161751066568
0.19696969909090908,1.2112834207232492,0.02593392636950354,0.8758670302787444,0.7158259350723924,0.4762153651987123
0.20202020393939393,1.1777431332155797,0.023750475839547397,0.8799266971259585,0.72595014880939,0.4641995557228974
0.20707070878787878,1.1452343840463273,0.021735521730546103,0.8839164438967364,0.7358460687470125,0.45227017612319675
0.21212121363636363,1.1136828405380093,0.019876372695891438,0.8878375173034587,0.7455178453905997,0.44042869484423564
0.21717171848484848,1.0830286839507883,0.01816136991116581,0.8916894066230661,0.7549694137873659,0.4286766208813279
0.22222222333333333,1.053212130181192,0.01657978887068787,0.8954729569423856,0.7642045082282534,0.4170155054149778
0.22727272818181818,1.0241818863199832,0.01512175219436765,0.8991882598637346,0.7732266756041271,0.4054469435358561
0.23232323303030303,0.9958905594333222,0.013778152018761343,0.9028355567783217,0.7820392875656341,0.39397257606684316
0.23737373787878788,0.9682950506286647,0.012540580757365416,0.9064150260196631,0.790645551616554,0.38259409148931045
0.2424242427272727,0.9413545760018114,0.011401269188966928,0.909927115073788,0.7990485212538672,0.37131322798150435
